Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
28.268463,37.54965,61.546795,-24.20893,730.3333333333334,-107.86438,118.50155,1.0565109,-284.65503,550.75,0.07401107251644135,895.378173828125,99133,222.65423846244812,,45
-0.7159443,71.3577,72.53845,-118.76558,620.25,-40.801727,37.95853,8.168392,-84.33201,820.3333333333334,1.8385816812515259,706.50146484375,101594,230.2788951396942,,46
-31.177301,31.685703,13.33498,-72.57478,372.8333333333333,4.575475,33.711937,39.845047,-40.840332,701.0,2.5600452423095703,779.9442138671875,103697,235.6320629119873,,47
-12.970884,62.880547,84.66328,-86.49909,547.25,22.263693,19.16132,47.180275,0.5800476,736.0,3.716261386871338,829.0108642578125,105905,241.9289948940277,,48
-17.122108,28.830545,33.486763,-42.58695,427.2,34.67463,51.42321,122.71845,-4.024544,705.25,3.2523200511932373,954.068603515625,108726,248.94633984565735,,49
-14.270471,52.944458,108.94646,-72.00758,418.42857142857144,30.44996,106.45728,180.76527,-52.03656,707.6666666666666,3.0929312705993652,1377.3870849609375,110849,255.6273262500763,,50
-17.223854,33.588547,19.360298,-74.38399,230.44444444444446,89.18451,37.244385,126.428894,51.940125,1000.0,4.6844892501831055,1120.6883544921875,112849,260.2427079677582,,51
33.527252,88.17818,192.49222,-43.622387,456.6,-35.35901,58.624725,70.25113,-88.851295,451.0,2.2134225368499756,1234.750244140625,115104,265.913672208786,,52
-10.669616,30.001078,51.862686,-49.658356,279.625,65.2614,4.5602913,69.821686,60.701103,1000.0,4.211422920227051,911.5086669921875,117104,271.19640731811523,,53
39.08891,71.14175,117.59222,-58.867928,554.6,6.894256,28.874357,45.373276,-45.474133,251.5,4.0173211097717285,1210.237060546875,119116,276.8963918685913,,54
47.411427,39.78514,99.2651,2.572052,725.6666666666666,5.3862967,26.057875,34.199993,-36.7911,408.6,2.6292123794555664,933.5210571289062,121159,282.6241624355316,,55
10.676012,70.6983,133.47543,-65.15654,410.2,-11.92942,54.393417,63.918697,-96.21119,462.0,2.6723098754882812,777.7688598632812,123469,288.19510865211487,,56
-11.2376175,42.18409,53.97149,-54.936462,560.75,57.890285,120.40221,229.43661,-103.59939,517.0,3.4831435680389404,1440.5576171875,125537,293.7813618183136,,57
-65.15923,55.57896,2.897667,-147.15918,599.5,95.69617,0.8606987,96.55687,94.83547,1000.0,3.8779358863830566,647.4051513671875,127537,299.9518759250641,,58
-304.00818,154.3864,-86.32362,-427.43884,851.0,50.461758,3.7935753,54.255333,46.668182,1000.0,3.1820387840270996,503.0108337402344,129537,307.54445481300354,,59
49.15543,12.9766655,62.132095,36.178764,1000.0,-263.59445,145.14871,-30.48071,-429.82443,692.5,-3.7604939937591553,1134.2725830078125,132307,314.52604055404663,,60
-206.42708,57.030014,-131.9989,-270.54782,729.3333333333334,-206.6331,119.17141,-78.91084,-365.7203,920.0,-1.372718095779419,671.7594604492188,135067,321.25198197364807,,61
-40.094513,105.8448,65.75029,-145.93932,1000.0,-138.40956,37.068115,-101.341446,-175.47768,1000.0,-0.15240824222564697,178.1684112548828,137067,326.98095893859863,,62
-234.08734,37.290836,-192.97339,-283.2475,865.6666666666666,2.4360275,201.21408,205.16904,-305.2513,649.0,0.8141751289367676,1645.21826171875,139663,334.24663257598877,,63
-211.8773,9.436688,-204.4801,-225.19554,772.0,-234.84058,16.01302,-216.60275,-255.58539,916.6666666666666,-2.278456211090088,634.0408325195312,142413,341.6494610309601,,64
-66.22487,73.399956,22.4691,-196.1018,491.8,56.874207,128.72044,202.50226,-110.532524,746.0,2.892594575881958,1179.94921875,144651,347.77375316619873,,65
14.054137,97.6499,145.37447,-130.196,678.0,44.829697,109.141,166.99176,-79.2804,590.0,1.5899587869644165,1294.595703125,147011,354.8911557197571,,66
8.414046,61.66773,89.0517,-78.77027,541.25,51.156967,150.68001,166.99237,-161.6585,697.6666666666666,1.7835949659347534,1563.16845703125,149104,361.15665674209595,,67
